Field,Abstract
disclosed is a high efficiency oscillator circuit for use in a field transmitter of a process control system the oscillator includes first and second current drive output transistors cross coupled through a load to first and second current sink transistors respectively and these transistors are operatively biased for astable switching so that the first output and the first current sink transistors simultaneously conduct in one state of the oscillator and the second output and the second current sink transistors simultaneously conduct in another state of the oscillator first and second series cut off transistors are connected respectively between the first and second current sink transistors and each side of the load and these latter transistors insure that one of the output transistors is clamped off when the other output transistor is biased into conduction turn on drive circuitry connected to each of the output transistors includes a pair of capacitors which discharge respectively into the pair of output transistors to alternately drive same into saturation as the circuit is switched as a result pairs of output and series cut off transistors are simultaneously biased to saturation in series across the power supply and thereby minimize voltage drops across the power supply and maximize the operational efficiency of the circuit author,Physics
streibl optik 66 341 354 1984 has shown that afocal telecentric imaging systems are shift invariant in three dimensions we show that afocal telecentric imaging systems are the only imaging systems that are shift invariant in three dimensions in addition we present a model that allows any imaging system to be modeled as an afocal telecentric imaging system preceded and succeeded by simple coordinate transformation operators the model is derived for diffraction limited imaging systems where the fresnel approximation is valid it is assumed that the object distribution is incoherently radiating and that multiple scattering and absorption within the object distribution are negligible a physical analogy is given that provides insight into the mathematical model finally a comparison with the work of frieden is given author,Physics
cultured cells are known to form focal and fibrillar adhesions with the substrate on which they grow but to what extent these adhesions represent those formed in vivo is a matter of debate in a perspective geiger 1 discusses new findings cukierman et al 2 claiming that the formation of physiological adhesions depends on the correct combination of molecular composition topography and pliability of the matrix n n 1 http www sciencemag org cgi content full 294 5547 1661 n 2 http www sciencemag org cgi content short 294 5547 1708 author,Physics
mobile fso communication links have gained significant attention over the last years due to their increasing maturity they are used in point to point link scenarios where the high gain in power efficiency and datarate is crucial compared to state of the art rf links author,Physics
superresolution permits fine details to be observed that cannot be resolved by standard optical instruments we demonstrate that superresolution is nothing more than an adaptation of degrees of freedom converted from the spatial domain to some other domains and vice versa the tool used for the required conversion and adaptation is the wigner chart in addition we show that the wigner chart may be naturally applied for analyzing and understanding complex optical setups used for obtaining superresolution author,Physics
cells of the mammalian pituitary gland synthesize and secrete several protein hormones which regulate a number of organ systems throughout the body these include the musculoskeletal immune vascular and endocrine systems since changes occur in these tissues as a result of spaceflight and since pituitary growth hormone gh and prolactin prl play a role in the control of these systems on earth we have focused attention over the last 10 years on gh and prl cell function during and after spaceflight the cumulative results of 4 spaceflight missions and several mimicked microgravity experiments establish 1 that production and release of biologically active gh and prl is repeatedly and significantly attenuated usually gt 50 and 2 that changes in cell morphology also occur in this paper we describe our results within the framework of methodologies and approaches frequently used to study pituitary cell function on earth in so doing we hope to develop future flight experiments aimed at uncovering possible microgravity sensing systems within the pituitary cell author,Physics
in this report dosimetric measurements are presented which were performed during the missions spacelab 1 d 1 biocosmos 8 and biocosmos 9 detector packages consisting of plastic nuclear track detectors nuclear emulsions and thermoluminescence dosimeters were exposed at different locations inside and outside spacecrafts behind more or less well defined shielding thicknesses these detector systems which supplement each other in their registration characteristic allow to record all biological relevant portions of the radiation field separately dose equivalents for the astronauts have been calculated from the measurements using the quality factors as defined in the old and the new recommendations of the international commission on radiation protection icrp author,Physics
truly remarkable our ability to see colors contributes immeasurably to our ideas of beauty and to the aesthetic appreciation of objects in our everyday world color is used routinely in business industry science and medicine to code and identify objects and to communicate informa tion and finally color seems to be associated with a variety of affective responses feelings emotions and moods such as liking disliking excitement and depression for these reasons it is not surprising to find that there has been a great deal of scientific work done on color vision and color perception richter s two bibliographies 1952 and 1963 for example contain well over 6000 entries even though they cover only the fifteen year period from 1940 through 1954 despite all this work there are many fundamental things we still do not know about this subject as one illustration there is still much uncertainty about precisely how various wave lengths of radiant energy are transformed into nervous energy and differentially coded for transmission to the higher nerve centers of the brain color can be studied anywhere along a broad spectrum of problems at one extreme some scientists are deeply interested in the microfunc tioning of the retinal elements and in the photochemicals that transform electromagnetic energy into nervous energy at the other extreme one can find research workers concerned with responses to color as an aid to understanding the structure and dynamics of personality the problem i wish to discuss falls somewhere near the middle of this spectrum for i am primarily concerned with the common color names that we can all use to talk about our color sensations strangely enough in all the vast literature on color and color percep tion the topic of color names is one that psychologists have largely ignored to be sure studies involving color naming have had a long and respectable history in psychology in fact one of the very earliest of these was begun by james mckeen cattell while he was a fellow at the johns hopkins university in 1882 1883 cattell 1885 but cattell and the many psychologists who used color naming tests after him were interested in these tests almost exclusively as dependent variables typically investigators have used the time taken to name a set of simple colors or the number of errors made in naming some simple colors as a measure of other things mental ability the effect of drugs the effect author,Physics
explicit solutions of the coupled einstein yang mills higgs field equations representing a t hooft char21,Physics
the time domain degree of polarization of a stationary random optical beam in general differs from that in the frequency domain we elucidate the origin of their differences and consider several examples in which the two degrees of polarization either are or are not the same author,Physics
three dimensional spherically symmetric hamilton operators which consist of the sum of an arbitrary effective kinetic energy and an attractive coulomb potential are quantized semiclassically the semiclassical quantization rule that we derive passes the test of estimating the bohr energies of hydrogenlike atoms successfully the semiclassical spectrum of thomas fermi atoms which are described in terms of an effective kinetic energy is found to agree essentially with the spectrum obtained in the standard formalism that employs an effective potential energy author,Physics
our previously introduced qtpie charge transfer with polarization current equilibration model j chen and t j martnez chem phys lett 438 315 2007 is a fluctuating charge model with correct asymptotic behavior unlike most other fluctuating charge models qtpie is formulated in terms of charge transfer variables and pairwise electronegativities not atomic charge variables and electronegativities the pairwise character of the electronegativities in qtpie allows us to avoid spurious charge transfer when bonds are broken however the increased number of variables leads to considerable computational expense and a rank deficient set of working equations which is numerically inconvenient here we show that qtpie can be exactly reformulated in terms of atomic charge variables leading to a considerable reduction in computational complexity the transformation between atomic and bond variables is generally applicable to arbitrary fluctuating charge models and uncovers an underlying topological framework that can be used to understand the relation between fluctuating charge models and the classical theory of electrical circuits author,Physics
if a physical system contains a single particle and if two distant detectors test the presence of linear superpositions of one particle and vacuum states a violation of classical locality can occur due to the creation of a two particle component by the detecting process itself author,Physics
the discovery and synthesis of fullerenes led to the hypothesis that they may be present and stable in interstellar space fullerenes have been reported in an impact crater on the ldef spacecraft investigations of fullerenes in carbonaceous meteorites have yielded only small upper limits fullerene compounds and their ions could be interesting carrier molecules for some of the diffuse interstellar bands dibs a long standing mystery in astronomy we have detected two new diffuse bands that are consistent with laboratory measurements of the c60 as first evidence for the largest molecule ever detected in space criteria for this identification are discussed the inferred abundance up to 0 9 of cosmic carbon locked in c60 suggests that fullerenes may play an important role in interstellar chemistry we present new observations on dib substructures consistent with fullerene compounds and the search for neutral c60 in the diffuse medium author,Physics
although the theories of polarization in the space time and space frequency domains are somewhat analogous they have been developed independently and there is no obvious connection between them we investigate how they are related author,Physics
the problem of ensuring space flight safety arises from conditions inherent to space flights and outer space and from the existing weight limitations of spacecraft in estimating radiation hazard during space flights three natural sources are considered the earth s radiation belt solar radiation and galactic radiation this survey first describes the major sources of radiation hazard in outer space with emphasis on those source parameters directly related to shielding manned spacecraft then the current status of the safety criteria used in the shielding calculations is discussed the rest of the survey is devoted to the rationale for spacecraft radiation shielding calculations the recently completed long term space flights indicate the reliability of the radiation safety measures used for the near earth space exploration while planning long term interplanetary flights it is necessary to solve a number of complicated technological problems related to the radiation protection of the crew author,Physics
singletons exist as particles and as local fields only in 3 2 de sitter space their kinematical properties make them natural candidates for constituents of massless fields and perhaps for quarks it is interesting to find out how to describe this type of compositeness in flat space a theory of interacting singleton fields in de sitter space is now available and in this paper we study the flat space limit of the green s functions of that theory the flat space limit is an autonomous theory of green s functions but is not an operator field theory the three point function is calculated and its flat space limit is found to reveal glimpses of a physical interpretation causal and spectral properties are in accord with the tenets of axiomatic field theory the theory is a generalization of local field theory in which photons appear as composite objects although the physical s matrix is the same as in conventional qed author,Physics
using a cell dynamical system cds to model the separation of phases we present the results of large scale simulations of spinodal decomposition in 3 space of a symmetric binary alloy and incompressible binary fluid at critical quench our main results are 1 the reliable determination of the asymptotic or the almost asymptotic form factors for these systems and 2 an understanding of the preasymptotic behavior of growth laws in terms of dispersion relations of interface fluctuations to achieve 1 it is indispensable to have i methods to analyze the data ii a scheme to simulate a system with fluid dynamic interactions and iii a demonstration of the self averaging nature of spherically averaged quantities item iii allows us to study sufficiently large systems with currently available computational resources author,Physics
life span is the most interesting and also the most important biologically relevant time to be investigated on the space station as a model experiment we proposed an investigation to assess the life span of clone generation of the ciliate paramecium in space clone generation will be artificially started by conjugation or autogamy and the life span of the cell populations in different gravitational fields microgravity and onboard 1 x g control will be precisely assessed in terms of fission age as compared with the clock time in order to perform the space experiment including long lasting culture and continuous measurement of cell division we tested the methods of cell culture and of cell density measurement which will be available in closed environments under microgravity the basic design of experimental hardware and a preliminary result of the cultivation procedure are described author,Physics
we report a dielectric anomaly in several perovskites at intermediate frequencies 10 ensuremath,Physics
we present an experimental observation of the abnormal growth of localized nonlinear fast space charge waves in space charge dominated electron beams passing through a dissipative channel high perveance electron beams with localized perturbations are launched from a gridded electron gun and transported through a short resistive wall channel consisting of a resistive film coated glass tube inside a long solenoid providing uniform focusing the energy width of the space charge waves developed from the perturbations is measured on both ends of the channel the experiments have shown that the localized fast space charge wave appears to grow under nonlinear perturbations in the linear regime as expected the energy width of slow waves increases while the energy width of fast waves decreases when they pass through the resistive channel author,Physics
sleep problems have been observed during many of the space flights the existence of poor quality of sleep fatigue insomnia or different alterations in sleep structure organization and sleep cyclicity have been established nevertheless results obtained from investigations of human sleep on board manned space vehicles show that it is possible to keep sleep patterns related to the restorative and adaptive processes for the first time in the frame of the intercosmos program a multi channel system for recording and analysis of sleep in space was constructed by scientists of the bulgarian academy of sciences and was installed on board the manned mir orbiting station in 1988 during the joint bulgarian russian space flight continues recording of electro physiological parameters necessary to estimate the sleep stages and sleep organization was made these investigations were continued in next space flights of different prolongation the results were compared with the findings obtained under the conditions during the pre and post flight periods author,Physics
objective nto study parapharyngeal space pps neoplasms which are rarely seen clinically n n nmethods na retrospective review was made of 59 patients with pps neoplasm operated on from 1986 to july 1997 in our institution n n nresults nneurogenic tumors were the most common neoplasms which constituted about 60 percent in the primary parapharyngeal space neoplasms high resolution computed tomography or magnetic resonance imaging was essential for diagnosis and presurgical planning the transcervical approach was the preferred procedure for 75 benign parapharyngeal tumors middle mandibulotomy was used in 3 cases including 2 small tumors confined to the superior aspect of the pps and 1 carotid body tumor which extended to the skull base lateral skull base approach was utilized for 1 schwannoma originating in the jugular foramen with extension into the pps n n nconclusions nwe believe that transoral approach can be used for small tumors and transparotid approach may be especially indicated for removal of deep lobe parotid tumors with extension to the pps middle mandibulotomy is a safe and efficacious approach for the removal of special pps neoplasms author,Physics
we present some new results relating to properties of completely coherent optical fields our analysis elucidates the relationship between the theories of such fields in the space time and in the space frequency domains we also show that the concept of cross spectral purity introduced by l mandel many years ago plays an important role in clarifying this relationship author,Physics
we study the joint optimization of time and space resources withinfree space optical interconnect fsoi systems both analyticaland simulation results are presented to support this optimization studyfor two different models of fsoi cross talk noise diffraction froma rectangular aperture and gaussian propagation under realisticpower and signal to noise ratio constraints optimum designs based onthe gaussian propagation model achieve a capacity of 2 91 x10 15 bits s 1 m 2 while therectangular model offers a smaller capacity of 1 91 x10 13 bits s 1 m 2 we alsostudy the use of error correction codes ecc within fsoisystems we present optimal reed solomon codes of various length and their use is shown to facilitate an increase in both spatialdensity and data rate resulting in fsoi capacity gains in excess of8 2 for the rectangular model and 3 7 for the gaussian case atolerancing study of fsoi systems shows that ecc can provide toleranceto implementational error sources we find that optimally codedfsoi systems can fail when system errors become large and we present acompromise solution that results in a balanced design in time space and error correction resources author,Physics
the models developed here apply to both robot domains where extreme thermal or precision conditions require a fundamental understanding of robot thermodynamics and heat transfer mechanisms that deform manipulators a transient 3d finite difference model is presented for tracking heat generated by actuators conducted through the manipulator radiated to space and absorbed from solar flux unlike large space cranes the closely positioned actuators in small fine arms require modeling of energy exchange between joints and simulations show that this heat transfer is governed by bearing elements the consequences of torque histories can be predicted using these models which link dynamics to future thermal states and their resulting structural expansions and contractions thermal models can be coupled with distributed sensing to anticipate deformations in robots under operation in space conditions improving precision and reducing the need for repeated calibration author,Physics
the national aeronautics and space administration s spitzer space telescope formerly the space infrared telescope facility is the fourth and final facility in the great observatories program joining hubble space telescope 1990 the compton gamma ray observatory 1991 2000 and the chandra x ray observatory 1999 spitzer with a sensitivity that is almost three orders of magnitude greater than that of any previous ground based and space based infrared observatory is expected to revolutionize our understanding of the creation of the universe the formation and evolution of primitive galaxies the origin of stars and planets and the chemical evolution of the universe this review presents a brief overview of the scientific objectives and history of infrared astronomy we discuss spitzer s expected role in infrared astronomy for the new millennium we describe pertinent details of the design construction launch in orbit checkout and operations of the observatory and summarize some science highlights from the first two and a half years of spitzer operations more information about spitzer can be found at http spitzer caltech edu author,Physics
the space radiobiology program in russia is aimed at obtaining fundamental data for developing radiation safety criteria these criteria are necessary for long term space missions this program includes substantiation of radiation hazard estimation principles based on the radiation risk conception investigation of the radiation affection regularities under the combined influence of the spaceflight factors experimental investigation of the hze particle delayed effects and acute somatic effects induced by protons and electrons individual radiosensitivity investigation mathematic modeling of radiobiological effects radiobiological basis of control and forecast of radiation influence in space development of methods and means of an organism s radioresistance increase author,Physics
the goal is to construct a simple model relating the conceptually defined munsell color space to a physical representation of the relationship among the reflectance spectra obtained from the color chips comprising the munsell color atlas in the model both the munsell conceptual system and the transformed reflectance spectra are shown to be well represented in euclidean space and the two spaces are related by a simple linear transformation a practical implication is that the method allows one to compare the location of an empirical reflectance spectrum with the aiming point in the conceptual structure author,Physics
we show that the gravitational trace and chiral anomalies can be computed from the measure by using the same general flat space methods as used for nongravitational anomalies no heat kernel methods zeta function regularization point splitting techniques etc are needed although they may be used and then simplify the algebra in particular we claim that it is not necessary to insert factors of g sup 1 4 which are often added on grounds of covariance since one loop anomalies are local objects while the trace of the jacobian of the measure is a purely mathematical object which can be evaluated whether or not one has even heard about general relativity we also show that the trace operation is cyclic by performing two different computations of the einstein anomaly once with the regulator in front of the jacobian and once in the back in both cases we obtain total derivatives on a plane wave basis author,Physics
the radiation protection guidelines of the national aeronautics and space administration nasa are under review by scientific committee 75 of the national council protection and measurements the re evaluation of the current guidelines is necessary first because of the increase in information about radiation risks since 1970 when the original recommendations were made and second the population at risk has changed for example women have joined the ranks of the astronauts two types of radiation protons and heavy ions are of particular concern in space unfortunately there is less information about the effects on tissues and cancer by these radiations than by other radiations the choice of quality factors q for obtaining dose equivalents for these radiations is an important aspect of the risk estimate for space travel there are not sufficient data for the induction of late effects by either protons or by heavy ions the current information suggests a rbe for the relative protons of about 1 whereas a rbe of 20 for tumor induction by heavy ions such as iron 56 appears appropriate the recommendations for the dose equivalent career limits for skin and the lens of the eye have been reduced but the 30 day and annual limits have been raised author,Physics
focusing particularly on one qubit and two qubit systems i explain how the quantum state of a system of n qubits can be expressed as a real function a generalized wigner function on a discrete 2 n x 2 n phase space the phase space is based on the finite field having 2 n elements and its geometric structure leads naturally to the construction of a complete set of 2 n 1 mutually conjugate bases author,Physics
repeated folding of the optical axis can be used to design space and volume efficient optical systems we suggest that space filling curves such as the peano and hilbert curves offer a useful way of realizing compact modular optics author,Physics
in this rapid communication we investigate spatially constrained networks that realize optimal synchronization properties after arguing that spatial constraints can be imposed by limiting the amount of wire available to connect nodes distributed in space we use numerical optimization methods to construct networks that realize different trade offs between optimal synchronization and spatial constraints over a large range of parameters such optimal networks are found to have a link length distribution characterized by power law tails p l proportional to l alpha with exponents alpha increasing as the networks become more constrained in space it is also shown that the optimal networks which constitute a particular type of small world network are characterized by the presence of nodes of distinctly larger than average degree around which long distance links are centered author,Physics
this chapter asks if a virtual space time could appear to those within it as our space time does to us a processing grid network is proposed to underlie not just matter and energy but also space and time the suggested screen for our familiar three dimensional world is a hyper sphere surface simulated by a grid network light and matter then travel or are transmitted in the directions of the grid architecture the processing sequences of grid nodes create time as the static states of movies run together emulate events yet here what exists are not the static states but the dynamic processing between them quantum collapse is the irreversible event that gives time its direction in this model empty space is null processing directions are node links time is processing cycles light is a processing wave objects are wave tangles and energy is the processing transfer rate it describes a world where empty space is not empty space warps time dilates and everything began when this virtual universe booted up author,Physics
many space experiments are scheduled for the international space station iss completion of the iss will soon become a reality astronauts will be exposed to low level background components from space radiation including heavy ions and other high linear energy transfer let radiation for long term stay in space we have to protect human health from space radiation at the same time we should recognize the maximum permissible doses of space radiation in recent years physical monitoring of space radiation has detected about 1 msv per day this value is almost 150 times higher than that on the surface of the earth however the direct effects of space radiation on human health are currently unknown therefore it is important to measure biological dosimetry to calculate relative biological effectiveness rbe for human health during long term flight the rbe is possibly modified by microgravity in order to understand the exact rbe and any interaction with microgravity the iss centrifugation system will be a critical tool and it is hoped that this system will be in operation as soon as possible author,Physics
m a r c h 2 0 0 6 c r e d it shielding space travelers i n science fiction the worst threats to space travelers are large ones careening asteroids ravenous creatures imperial battle cruisers in reality though the scariest menaces for humans in space are the tiniest fast moving elementary particles known as cosmic rays on a long journey they would give astronauts a dose of radiation serious enough to cause cancer unlike most of the other challenges of venturing into deep space which engineers should be able to solve given enough time and money cosmic rays pose irreducible risks and dealing with them involves fundamental trade offs they could be the show stopper for visiting mars author,Physics
we present a quantum theory of the shuttle instability in electronic transport through a nanostructure with a mechanical degree of freedom a phase space formulation in terms of the wigner function allows us to identify a crossover from the tunneling to the shuttling regime thus extending the previously found classical results to the quantum domain further a new dynamical regime is discovered where the shuttling is driven exclusively by the quantum noise author,Physics
although originally thought to show great promise in solving quantum many body problems on a lattice numerical real space renormalization group techniques have had little success for such problems we explore the nature of the difficulties involved by studying the application of the method to the simple tight binding model in one dimension the standard approach fails dramatically for this model we show that the key to successfully applying the renormalization group technique lies in applying a variety of boundary conditions to a block in order to simulate the effect of neighboring blocks author,Physics
information is summarized on the various types of radiation that were found in space using satellites and space probes the physical natures of the radiations are discussed together with the mechanisms by which the radiation interacts with matter dosage levels are defined the salient factors in the choice of shielding are discussed an assessment is made of the importance of radiations in space to space missions b o g author,Physics
crickets in space was a neurolab experiment by which the balance between genetic programs and the gravitational environment for the development of a gravity sensitive neuronal system was studied the model character of crickets was justified by their external gravity receptors identified position sensitive interneurons psi and gravity related compensatory head response and by the specific relation of this behavior to neuronal arousal systems activated by locomotion these advantages allowed to study the impact of modified gravity on cellular processes in a complex organism eggs 1st 4th and 6th stage larvae of acheta domesticus were used post flight experiments revealed a low susceptibility of the behavior to micro and hypergravity while the physiology of the psi was significantly affected immunocytological investigations revealed a stage dependent sensitivity of thoracic gabaergic motoneurons to 3 g conditions concerning their soma sizes but not their topographical arrangement the morphology of neuromuscular junctions was not affected by 3 g hypergravity peptidergic neurons from cerebral sensorimotor centers revealed no significant modifications by microgravity micro g the contrary physiological and behavioral results indicate a facilitation of 1 g readaptation originating from accessory gravity proprioceptive and visual sense organs absence of anatomical modifications point to an effective time window of micro g or 3 g expo sure related to the period of neuronal proliferation the analysis of basic mechanisms of how animals and man adapt to altered gravitational conditions will profit from a continuation of the project crickets in space author,Physics
